[0.050s] Invoking command in '/home/robojackets/urc_ws/colcon-urc/src/urc-software/build/velodyne_description': CMAKE_PREFIX_PATH=/opt/ros/galactic:${CMAKE_PREFIX_PATH} /usr/bin/cmake --build /home/robojackets/urc_ws/colcon-urc/src/urc-software/build/velodyne_description -- -j2 -l2
[0.139s] Invoked command in '/home/robojackets/urc_ws/colcon-urc/src/urc-software/build/velodyne_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/galactic:${CMAKE_PREFIX_PATH} /usr/bin/cmake --build /home/robojackets/urc_ws/colcon-urc/src/urc-software/build/velodyne_description -- -j2 -l2
[0.196s] Invoking command in '/home/robojackets/urc_ws/colcon-urc/src/urc-software/build/velodyne_description': CMAKE_PREFIX_PATH=/opt/ros/galactic:${CMAKE_PREFIX_PATH} /usr/bin/cmake --install /home/robojackets/urc_ws/colcon-urc/src/urc-software/build/velodyne_description
[0.207s] -- Install configuration: ""
[0.208s] -- Execute custom install script
[0.209s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/ament_index/resource_index/package_run_dependencies/velodyne_description
[0.209s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/ament_index/resource_index/parent_prefix_path/velodyne_description
[0.210s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/environment/ament_prefix_path.sh
[0.211s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/environment/ament_prefix_path.dsv
[0.212s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/environment/path.sh
[0.215s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/environment/path.dsv
[0.215s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/local_setup.bash
[0.215s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/local_setup.sh
[0.216s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/local_setup.zsh
[0.216s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/local_setup.dsv
[0.216s] -- Symlinking: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/package.dsv
[0.225s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/ament_index/resource_index/packages/velodyne_description
[0.226s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/cmake/velodyne_descriptionConfig.cmake
[0.226s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/cmake/velodyne_descriptionConfig-version.cmake
[0.227s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/package.xml
[0.228s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/launch/example-launch.py
[0.229s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/HDL32E_base.dae
[0.229s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/HDL32E_base.stl
[0.230s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/HDL32E_scan.dae
[0.230s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/HDL32E_scan.stl
[0.231s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/VLP16_base_1.dae
[0.231s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/VLP16_base_1.stl
[0.232s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/VLP16_base_2.dae
[0.232s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/VLP16_base_2.stl
[0.233s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/VLP16_scan.dae
[0.233s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/meshes/VLP16_scan.stl
[0.234s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/rviz/example.rviz
[0.235s] -- Up-to-date symlink: /home/robojackets/urc_ws/colcon-urc/src/urc-software/install/velodyne_description/share/velodyne_description/urdf/HDL-32E.urdf.xacro
